file,experiment,n,quota,c,replicate,rtt_ms,loss_pct,faulty_nodes,tps,tps_norm,blocks,block_interval_mean,p_d,p_f,rho,log_n,log_c,log_tps
X3-n7-q0.25-c4-r0-l0-rep0.json,X3,7,0.25,4,0,0,0.0,0,40.60132890365448,162.40531561461793,146,2.075862068965517,,,,1.9459101490553132,1.3862943611198906,5.0900951588090155
X3-n7-q0.25-c4-r0-l0-rep1.json,X3,7,0.25,4,1,0,0.0,0,46.0364238410596,184.1456953642384,145,2.0972222222222223,,,,1.9459101490553132,1.3862943611198906,5.2157272669145645
X3-n7-q0.25-c4-r0-l0-rep2.json,X3,7,0.25,4,2,0,0.0,0,51.34,205.36,151,2.0,,,,1.9459101490553132,1.3862943611198906,5.324764536562885
X3-n7-q0.25-c64-r0-l0-rep0.json,X3,7,0.25,64,0,0,0.0,0,25.32312925170068,101.29251700680273,136,2.1777777777777776,,,,1.9459101490553132,4.1588830833596715,4.618012538899318
X3-n7-q0.25-c64-r0-l0-rep1.json,X3,7,0.25,64,1,0,0.0,0,23.4,93.6,21,2.25,,,,1.9459101490553132,4.1588830833596715,4.539030383483547
X3-n7-q0.25-c64-r0-l0-rep2.json,X3,7,0.25,64,2,0,0.0,0,24.962962962962962,99.85185185185185,137,2.1838235294117645,,,,1.9459101490553132,4.1588830833596715,4.603687606027869
X3-n7-q0.25-c8-r0-l0-rep0.json,X3,7,0.25,8,0,0,0.0,0,84.06600660066006,336.26402640264024,139,2.1956521739130435,,,,1.9459101490553132,2.0794415416798357,5.817896644254631
X3-n7-q0.25-c8-r0-l0-rep1.json,X3,7,0.25,8,1,0,0.0,0,32.57142857142857,130.28571428571428,96,3.0210526315789474,,,,1.9459101490553132,2.0794415416798357,4.869729841019018
X4-n13-q0.25-c16-r0-l0-rep0.json,X4,13,0.25,16,0,0,0.0,0,14.408163265306122,57.63265306122449,138,2.145985401459854,,,,2.5649493574615367,2.772588722239781,4.054089300502506
X4-n13-q0.25-c16-r0-l0-rep1.json,X4,13,0.25,16,1,0,0.0,0,16.02013422818792,64.08053691275168,126,2.384,,,,2.5649493574615367,2.772588722239781,4.160140681513262
X4-n13-q0.25-c16-r100-l0-rep0.json,X4,13,0.25,16,0,100,0.0,0,24.53082191780822,98.12328767123287,132,2.2290076335877864,,,,2.5649493574615367,2.772588722239781,4.58622472546606
X4-n13-q0.25-c16-r100-l0-rep1.json,X4,13,0.25,16,1,100,0.0,0,32.68791946308725,130.751677852349,130,2.310077519379845,,,,2.5649493574615367,2.772588722239781,4.873299935385441
X4-n13-q0.25-c16-r200-l0-rep0.json,X4,13,0.25,16,0,200,0.0,0,17.469798657718123,69.87919463087249,137,2.1911764705882355,,,,2.5649493574615367,2.772588722239781,4.246767960168997
X4-n13-q0.25-c16-r200-l0-rep1.json,X4,13,0.25,16,1,200,0.0,0,15.558219178082192,62.23287671232877,134,2.1954887218045114,,,,2.5649493574615367,2.772588722239781,4.130883424611012
X4-n13-q0.25-c16-r25-l0-rep0.json,X4,13,0.25,16,0,25,0.0,0,26.914089347079038,107.65635738831615,131,2.2384615384615385,,,,2.5649493574615367,2.772588722239781,4.6789442781587445
X4-n13-q0.25-c16-r25-l0-rep1.json,X4,13,0.25,16,1,25,0.0,0,15.954545454545455,63.81818181818182,62,2.1639344262295084,,,,2.5649493574615367,2.772588722239781,4.156038131227441
